1. Discovery Call — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] create a consultative discovery call script during the first 10 customers stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.
71. Follow-Up — Act as a specialist in sales prompts. Help a creative professional in [NICHE] write a multi-touch follow-up sequence during the early traction stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

72. Closing — Act as a specialist in sales prompts. Help a creative professional in [NICHE] create an ethical closing conversation during the market expansion stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

73. Upsell — Act as a specialist in sales prompts. Help a creative professional in [NICHE] design a relevant post-purchase upsell during the relaunch stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

74. Cross-Sell — Act as a specialist in sales prompts. Help a creative professional in [NICHE] identify and pitch a complementary offer during the pre-launch stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

75. Renewal — Act as a specialist in sales prompts. Help a creative professional in [NICHE] prepare a renewal conversation during the growth plateau stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

76. Win-Back — Act as a specialist in sales prompts. Help a creative professional in [NICHE] write a dormant-client win-back campaign during the profit improvement stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

77. Sales Qualification — Act as a specialist in sales prompts. Help a creative professional in [NICHE] build a lead scoring and qualification rubric during the premium repositioning stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

78. Demo Script — Act as a specialist in sales prompts. Help a creative professional in [NICHE] structure a product demonstration during the first 10 customers stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

79. Negotiation — Act as a specialist in sales prompts. Help a creative professional in [NICHE] prepare a value-protecting negotiation plan during the offer refinement stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

80. Referral Ask — Act as a specialist in sales prompts. Help a creative professional in [NICHE] write a natural referral request during the systemization stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

81. Discovery Call — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] create a consultative discovery call script during the idea validation stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

82. Elevator Pitch — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] write a concise outcome-led pitch during the early traction stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

83. Cold Email — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] write a personalized cold outreach email during the market expansion stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

84. Cold DM — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] create a permission-based direct message during the relaunch stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

85. Objection Handling — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] answer a specific sales objection during the pre-launch stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

86. Proposal — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] draft a persuasive proposal structure during the growth plateau stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

87. Follow-Up — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] write a multi-touch follow-up sequence during the profit improvement stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

88. Closing — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] create an ethical closing conversation during the premium repositioning stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

89. Upsell — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] design a relevant post-purchase upsell during the first 10 customers stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

90. Cross-Sell — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] identify and pitch a complementary offer during the offer refinement stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

91. Renewal — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] prepare a renewal conversation during the systemization stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

92. Win-Back — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] write a dormant-client win-back campaign during the idea validation stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

93. Sales Qualification — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] build a lead scoring and qualification rubric during the early traction stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

94. Demo Script — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] structure a product demonstration during the market expansion stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

95. Negotiation — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] prepare a value-protecting negotiation plan during the relaunch stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

96. Referral Ask — Act as a specialist in sales prompts. Help a B2B operator in [NICHE] write a natural referral request during the pre-launch stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

97. Discovery Call — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] create a consultative discovery call script during the growth plateau stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

98. Elevator Pitch — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] write a concise outcome-led pitch during the profit improvement stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

99. Cold Email — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] write a personalized cold outreach email during the premium repositioning stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

100. Cold DM — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] create a permission-based direct message during the first 10 customers stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

101. Objection Handling — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] answer a specific sales objection during the offer refinement stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

102. Proposal — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] draft a persuasive proposal structure during the systemization stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

103. Follow-Up — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] write a multi-touch follow-up sequence during the idea validation stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

104. Closing — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] create an ethical closing conversation during the early traction stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

105. Upsell — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] design a relevant post-purchase upsell during the market expansion stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

106. Cross-Sell — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] identify and pitch a complementary offer during the relaunch stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

107. Renewal — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] prepare a renewal conversation during the pre-launch stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

108. Win-Back — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] write a dormant-client win-back campaign during the growth plateau stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

109. Sales Qualification — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] build a lead scoring and qualification rubric during the profit improvement stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

110. Demo Script — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] structure a product demonstration during the premium repositioning stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

111. Negotiation — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] prepare a value-protecting negotiation plan during the first 10 customers stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

112. Referral Ask — Act as a specialist in sales prompts. Help a ecommerce founder in [NICHE] write a natural referral request during the offer refinement stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

113. Discovery Call — Act as a specialist in sales prompts. Help a course creator in [NICHE] create a consultative discovery call script during the systemization stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

114. Elevator Pitch — Act as a specialist in sales prompts. Help a course creator in [NICHE] write a concise outcome-led pitch during the idea validation stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

115. Cold Email — Act as a specialist in sales prompts. Help a course creator in [NICHE] write a personalized cold outreach email during the early traction stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

116. Cold DM — Act as a specialist in sales prompts. Help a course creator in [NICHE] create a permission-based direct message during the market expansion stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

117. Objection Handling — Act as a specialist in sales prompts. Help a course creator in [NICHE] answer a specific sales objection during the relaunch stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

118. Proposal — Act as a specialist in sales prompts. Help a course creator in [NICHE] draft a persuasive proposal structure during the pre-launch stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

119. Follow-Up — Act as a specialist in sales prompts. Help a course creator in [NICHE] write a multi-touch follow-up sequence during the growth plateau stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

120. Closing — Act as a specialist in sales prompts. Help a course creator in [NICHE] create an ethical closing conversation during the profit improvement stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

121. Upsell — Act as a specialist in sales prompts. Help a course creator in [NICHE] design a relevant post-purchase upsell during the premium repositioning stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

122. Cross-Sell — Act as a specialist in sales prompts. Help a course creator in [NICHE] identify and pitch a complementary offer during the first 10 customers stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

123. Renewal — Act as a specialist in sales prompts. Help a course creator in [NICHE] prepare a renewal conversation during the offer refinement stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

124. Win-Back — Act as a specialist in sales prompts. Help a course creator in [NICHE] write a dormant-client win-back campaign during the systemization stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

125. Sales Qualification — Act as a specialist in sales prompts. Help a course creator in [NICHE] build a lead scoring and qualification rubric during the idea validation stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

126. Demo Script — Act as a specialist in sales prompts. Help a course creator in [NICHE] structure a product demonstration during the early traction stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

127. Negotiation — Act as a specialist in sales prompts. Help a course creator in [NICHE] prepare a value-protecting negotiation plan during the market expansion stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

128. Referral Ask — Act as a specialist in sales prompts. Help a course creator in [NICHE] write a natural referral request during the relaunch stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

129. Discovery Call — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] create a consultative discovery call script during the pre-launch stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

130. Elevator Pitch — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] write a concise outcome-led pitch during the growth plateau stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

131. Cold Email — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] write a personalized cold outreach email during the profit improvement stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

132. Cold DM — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] create a permission-based direct message during the premium repositioning stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

133. Objection Handling — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] answer a specific sales objection during the first 10 customers stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

134. Proposal — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] draft a persuasive proposal structure during the offer refinement stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

135. Follow-Up — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] write a multi-touch follow-up sequence during the systemization stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

136. Closing — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] create an ethical closing conversation during the idea validation stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

137. Upsell — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] design a relevant post-purchase upsell during the early traction stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

138. Cross-Sell — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] identify and pitch a complementary offer during the market expansion stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

139. Renewal — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] prepare a renewal conversation during the relaunch stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

140. Win-Back — Act as a specialist in sales prompts. Help a small agency owner in [NICHE] write a dormant-client win-back campaign during the pre-launch stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

